"country";"iucn_cat";"count";"area_ha"
"AFG";"II";1;59659.2796733016
"AFG";"IV";4;216415.387399095
"AFG";"Not Reported";5;1558264.41657224
"AGO";"II";4;2792231.32347567
"AGO";"IV";4;2511695.7486396
"AGO";"Not Reported";1;6796661.17141693
"AGO";"V";1;21431.3973582349
"ALA";"Not Reported";25;2668.15142810859
"ALB";"Ia";2;12068.5695535691
"ALB";"II";11;94397.3290071239
"ALB";"III";6;6200.54545122487
"ALB";"IV";16;37721.1220566744
"ALB";"V";4;53945.625981306
"ALB";"VI";4;18239.1051895187
"AND";"Not Applicable";1;1067.21120189009
"ARE";"II";1;22504.621481264
"ARE";"Not Reported";4;876710.21761676
"ARG";"Ia";14;569408.891373809
"ARG";"Ib";1;76446.5138207148
"ARG";"II";39;3513944.62557393
"ARG";"III";5;74566.2789383445
"ARG";"IV";10;432828.43600029
"ARG";"Not Applicable";19;4847692.88156404
"ARG";"Not Reported";1;52524.256491448
"ARG";"V";4;18529.1563074825
"ARG";"VI";76;8347433.06962998
"ARM";"Ia";3;35153.1450234304
"ARM";"II";4;242981.001855287
"ARM";"IV";27;89973.9035089364
"ARM";"Not Applicable";3;477383.245989033
"ATF";"Not Reported";1;2332714.27786393
"ATG";"Not Reported";2;265.060274466307
"AUS";"Ia";2477;15610150.4747313
"AUS";"Ib";68;3633042.56495679
"AUS";"II";1034;30722435.0506854
"AUS";"III";2331;942677.615788182
"AUS";"IV";2254;2226323.68716976
"AUS";"Not Applicable";61;14732621.4100385
"AUS";"Not Reported";131;50149.9721070023
"AUS";"V";226;1053896.73323473
"AUS";"VI";1207;39917669.9335303
"AUS, CCK";"Not Applicable";1;2601.91191509752
"AUS, CXR";"II";1;8776.50963134415
"AUS, CXR";"Not Applicable";2;786.140500273106
"AUS, NFK";"II";1;493.458747681434
"AUT";"Ia";3;1129.70770496716
"AUT";"Ib";4;3146.24645602718
"AUT";"II";9;235905.302514679
"AUT";"III";192;2573.65199250794
"AUT";"IV";638;503769.910734988
"AUT";"Not Applicable";10;90290.2222234297
"AUT";"Not Reported";1;78.0745363697877
"AUT";"V";345;1782672.65422147
"AUT";"VI";3;124808.537629636
"AZE";"Ia";18;206530.114940522
"AZE";"II";8;310590.178879538
"AZE";"IV";26;541726.946141991
"AZE";"Not Reported";1;14591.4207240277
"BDI";"IV";7;98416.731885879
"BEL";"II";9;313476.497822545
"BEL";"IV";489;24945.169289267
"BEL";"Not Applicable";456;579183.562663597
"BEL";"Not Reported";573;105687.215041879
"BEL";"VI";436;59222.3297056435
"BEN";"II";2;861052.348131708
"BEN";"Not Reported";23;1419612.28829735
"BEN";"VI";3;433341.204740684
"BFA";"II";3;482834.333757954
"BFA";"IV";9;2532078.34288718
"BFA";"Not Applicable";3;529025.354964999
"BFA";"Not Reported";60;952799.678730911
"BGD";"IV";6;42443.303251529
"BGD";"Not Reported";20;187851.056344734
"BGD";"V";10;32298.138451383
"BGR";"Ia";54;75733.6361116153
"BGR";"II";3;189916.050084005
"BGR";"III";349;22707.5811259326
"BGR";"IV";35;4424.67229711045
"BGR";"Not Applicable";326;5271091.61638604
"BGR";"Not Reported";40;1896618.30262857
"BGR";"V";11;276721.526665729
"BGR";"VI";510;55510.7076505128
"BIH";"Not Applicable";2;49261.7686407014
"BIH";"Not Reported";3;9902.06639762089
"BLM";"IV";1;1.29441290746713
"BLR";"Ia";2;301043.785629905
"BLR";"II";3;222287.227910609
"BLR";"IV";114;923348.338038576
"BLR";"Not Applicable";2;47999.1651914535
"BLZ";"Ia";3;42642.2620707932
"BLZ";"II";13;25081.5828642933
"BLZ";"III";2;2482.48318211212
"BLZ";"IV";10;177487.735445796
"BLZ";"Not Reported";1;0.331144619049381
"BLZ";"VI";31;489298.406089829
"BMU";"Ib";6;16.196200723257
"BMU";"II";6;17.7069173463128
"BMU";"III";2;4.4503427390339
"BMU";"IV";4;24.3133928188282
"BMU";"Not Reported";9;13.327575707982
"BMU";"V";1;8.23923430677814
"BOL";"Ib";2;1399990.75649357
"BOL";"II";17;7125656.41379631
"BOL";"IV";18;9305007.97307804
"BOL";"Not Applicable";4;2166797.64600708
"BOL";"Not Reported";18;3144956.8446401
"BOL";"VI";5;1370926.36928189
"BRA";"Ia";137;NaN
"BRA";"II";271;31628826.3039139
"BRA";"III";20;516401.327024088
"BRA";"IV";40;64783.7740272456
"BRA";"Not Applicable";11;8293327.68562381
"BRA";"Not Reported";758;113397672.437362
"BRA";"V";173;25179122.3889948
"BRA";"VI";221;NaN
"BRB";"Not Reported";1;2.09501448247174
"BRN";"Ia";19;56670.1368717848
"BRN";"II";3;79918.4578516008
"BRN";"Not Applicable";1;15179.5699283708
"BRN";"V";6;2013.6090725091
"BTN";"Ia";1;65069.2319921798
"BTN";"II";4;788750.450556751
"BTN";"IV";4;291788.736064315
"BWA";"Ib";7;10351817.9160396
"BWA";"II";6;405679.202965067
"BWA";"IV";3;179705.318051041
"BWA";"Not Applicable";1;6402595.25123128
"CAF";"Ia";1;84295.8115304609
"CAF";"II";4;3236493.8094924
"CAF";"IV";8;4016656.08421376
"CAF";"Not Applicable";2;1892814.79161889
"CAF";"Not Reported";9;3228836.35135012
"CAF";"VI";1;339312.661171513
"CAN";"Ia";431;596141.031490678
"CAN";"Ib";203;23183152.5879461
"CAN";"II";1400;32439079.7405197
"CAN";"III";290;331476.498718794
"CAN";"IV";464;2848791.11369912
"CAN";"Not Applicable";22;9699011.06522863
"CAN";"Not Reported";340;4928974.18575707
"CAN";"V";141;82881.5825739795
"CAN";"VI";668;5633183.71650242
"CHE";"Ia";545;18556.0021195074
"CHE";"III";25;29899.8285845831
"CHE";"IV";5354;308672.238846163
"CHE";"Not Applicable";13;124438.387105959
"CHE";"V";215;672682.165917875
"CHE,ITA";"Not Applicable";1;1123.2125323414
"CHL";"II";34;9097420.73420478
"CHL";"III";12;28148.8970088841
"CHL";"IV";78;5443587.48408778
"CHL";"Not Applicable";18;1552803.14840904
"CHL";"Not Reported";4;31449.0923266871
"CHN";"IV";2;30552.8453554386
"CHN";"Not Applicable";34;7932107.12198597
"CHN";"Not Reported";4;78534.880245995
"CHN";"V";644;124171451.046621
"CHN";"VI";9;3911143.9289719
"CIV";"Ia";3;57830.7009261719
"CIV";"II";6;1839209.60888004
"CIV";"IV";2;89991.0526814972
"CIV";"Not Applicable";3;2664266.04454627
"CIV";"Not Reported";219;4968773.31351643
"CIV,GIN";"Not Applicable";1;19256.1104631762
"CMR";"II";17;2825398.52876086
"CMR";"IV";9;1059878.00555546
"CMR";"Not Applicable";4;1509125.56057899
"CMR";"Not Reported";66;1846085.244097
"CMR,CAF,COG";"Not Applicable";1;754915.027766456
"COD";"Ia";1;223108.455206397
"COD";"Ib";1;654640.150164803
"COD";"II";9;NaN
"COD";"Not Applicable";7;NaN
"COD";"Not Reported";16;6160534.49189795
"COD";"VI";11;6776812.04623382
"COG";"II";2;1783625.10642777
"COG";"IV";3;953980.092721579
"COG";"Not Applicable";3;1976034.54843376
"COG";"Not Reported";4;133157.429271211
"COL";"II";33;6777893.56807577
"COL";"III";1;634.720999281984
"COL";"IV";10;76591.5325416598
"COL";"Not Applicable";2;623361.307423866
"COL";"Not Reported";559;19547341.3828549
"COL";"VI";6;72632.8749199045
"COM";"Not Applicable";1;1166.93489086856
"CPV";"Not Reported";3;10182.5226538545
"CRI";"Ia";4;21153.7342795597
"CRI";"Ib";1;1254.63016734182
"CRI";"II";13;411002.322588456
"CRI";"IV";26;20831.5651637388
"CRI";"Not Applicable";1;7444.99825725985
"CRI";"Not Reported";51;188494.242652117
"CRI";"VI";37;305491.203812813
"CRI,PAN";"Not Applicable";1;404760.89760612
"CUB";"Ib";1;1425.78948329948
"CUB";"II";9;56184.5723010336
"CUB";"III";1;126.487318362238
"CUB";"IV";8;26415.1089616387
"CUB";"Not Applicable";2;92739.8018675419
"CUB";"Not Reported";127;191385.508606613
"CUB";"V";3;5973.54274723144
"CUB";"VI";5;52041.5854759942
"CUW";"Not Reported";4;224.030272555672
"CYM";"Ib";1;239.836354076783
"CYM";"II";2;196.41178455063
"CYM";"IV";2;81.9108732048187
"CYP";"Ia";1;3331.32923439939
"CYP";"II";12;15706.5636751767
"CYP";"III";1;0.0370444612880483
"CYP";"Not Applicable";58;188090.540732573
"CYP";"V";1;870.862309461566
"CZE";"Ia";1;227.692229519507
"CZE";"Ib";6;10007.49216691
"CZE";"II";4;119104.201631083
"CZE";"III";537;22239.6894291127
"CZE";"IV";1792;66091.3220000313
"CZE";"Not Applicable";1137;1592807.90624679
"CZE";"V";36;1089898.18177062
"DEU";"II";9;145933.1644918
"DEU";"IV";8039;1297290.09473641
"DEU";"Not Applicable";5226;7027830.03463012
"DEU";"Not Reported";622;622164.985219387
"DEU";"V";8059;9928657.18240789
"DJI";"Not Reported";1;75.8889096117179
"DMA";"II";1;6698.73822391399
"DMA";"Not Applicable";1;6698.73822391399
"DMA";"VI";2;9234.60824676462
"DNK";"Ia";5;590.082998269321
"DNK";"Ib";4;9788.14226573199
"DNK";"II";4;4391.93413017832
"DNK";"III";19;7906.83693247268
"DNK";"IV";282;459927.976473129
"DNK";"Not Applicable";262;581415.376172086
"DNK";"Not Reported";148;44445.6611249266
"DNK";"V";1407;91975.7139915839
"DOM";"Ia";6;18469.8366758871
"DOM";"II";11;487921.82046372
"DOM";"III";16;43422.6305648608
"DOM";"IV";5;16602.2197096523
"DOM";"V";6;23467.0213101488
"DOM";"VI";15;244440.140428418
"DZA";"II";3;9924419.82295064
"DZA";"Not Applicable";3;17447849.6055117
"ECU";"Ia";3;135515.499418296
"ECU";"II";8;1943124.4796438
"ECU";"III";1;3990.13483731993
"ECU";"Not Applicable";3;283061.264335358
"ECU";"V";1;1123.36290083536
"ECU";"VI";7;1585801.12116367
"EGY";"Ia";5;5889.20198582419
"EGY";"III";2;583534.676886676
"EGY";"IV";1;69007.351081199
"EGY";"Not Applicable";4;399231.886551233
"EGY";"Not Reported";16;10902269.4846676
"EGY";"V";3;477116.846924319
"EGY";"VI";4;3341099.56713646
"ERI";"IV";3;590299.112304572
"ESP";"Ia";10;32900.1056370013
"ESP";"Ib";65;33890.0166874837
"ESP";"II";100;1130823.21594417
"ESP";"III";259;111984.705502996
"ESP";"IV";201;332936.270674825
"ESP";"Not Applicable";2000;22602948.9172161
"ESP";"Not Reported";697;1825081.00732452
"ESP";"V";322;4450883.36856315
"ESP";"VI";33;173217.943739275
"EST";"Ia";29;8000.53457292937
"EST";"Ib";313;166738.331492591
"EST";"III";145;252.963127573608
"EST";"IV";456;141052.144885679
"EST";"Not Applicable";539;1044223.04344681
"EST";"Not Reported";5377;522230.403110305
"EST";"V";824;161817.192985611
"EST";"VI";480;239785.729025621
"ETH";"II";10;2224914.97895676
"ETH";"IV";8;2339194.4112683
"ETH";"Not Applicable";2;260169.960199046
"ETH";"Not Reported";58;4413199.98746743
"ETH";"VI";17;14853278.9300308
"FIN";"Ia";18;153465.644443658
"FIN";"Ib";5;112836.311085264
"FIN";"II";32;908269.105354295
"FIN";"III";2;771.119890106359
"FIN";"IV";2;2293.9690525448
"FIN";"Not Applicable";1821;5495481.70953538
"FIN";"Not Reported";10442;232948.782203351
"FIN";"VI";100;1858757.66932657
"FJI";"Ia";4;1920.77261897292
"FJI";"II";2;1478.12051341196
"FJI";"IV";1;476.853844706252
"FRA";"Ia";46;14008.6756707196
"FRA";"II";4;259456.595300408
"FRA";"III";13;1395.00199017124
"FRA";"IV";2210;451326.118982824
"FRA";"Not Applicable";1621;9150299.55469617
"FRA";"Not Reported";7;661.584279890521
"FRA";"V";45;7814022.70239181
"FRA,ESP";"Not Applicable";1;25040.581595817
"GAB";"IV";3;463540.79103786
"GAB";"Not Applicable";1;491225.973987923
"GAB";"Not Reported";12;2903513.35917382
"GBR";"IV";8715;2315507.31125286
"GBR";"Not Applicable";846;2802151.46429007
"GBR";"Not Reported";145;156780.496734711
"GBR";"V";66;4094484.57864139
"GEO";"Ia";19;180914.0815806
"GEO";"II";10;274341.003233651
"GEO";"III";10;795.743786785932
"GEO";"IV";18;64678.0806397599
"GEO";"V";2;34184.9838244717
"GHA";"Ia";1;33619.1522085661
"GHA";"II";6;1014618.98287382
"GHA";"IV";3;23795.2325094749
"GHA";"Not Applicable";2;9758.32855775453
"GHA";"Not Reported";239;2378392.95631875
"GHA";"VI";5;102414.113176181
"GIN";"Ia";1;14561.8934781321
"GIN";"II";1;27816.8209957927
"GIN";"Not Reported";98;991312.546737933
"GLP";"II";1;22068.4170075465
"GLP";"IV";34;3774.72144791046
"GMB";"II";2;5831.71053235592
"GMB";"IV";1;93.6331644823425
"GMB";"Not Applicable";3;31895.1152665401
"GMB";"Not Reported";5;28202.0601546592
"GNB";"Not Reported";15;901602.625716456
"GNQ";"Ib";1;51074.9802672924
"GNQ";"II";3;295473.923626666
"GNQ";"III";2;38983.2503255881
"GNQ";"IV";1;25727.6980166524
"GRC";"Ia";5;5763.74729461933
"GRC";"II";18;78495.5833806609
"GRC";"III";25;45810.5102446179
"GRC";"IV";615;1063362.55183157
"GRC";"Not Applicable";381;4793782.33841084
"GRC";"Not Reported";36;322817.944057186
"GRC";"V";3;139034.763501367
"GRC";"VI";51;1072327.22149232
"GRL";"Ib";5;73835.3156228058
"GRL";"III";3;58395.8672018148
"GTM";"II";12;122754.06380535
"GTM";"III";11;285012.621091388
"GTM";"IV";31;31683.2244959955
"GTM";"Not Applicable";5;2869395.99702602
"GTM";"Not Reported";59;886697.417143786
"GTM";"V";124;51307.5324072302
"GTM";"VI";6;1891916.54049181
"GUF";"Ib";1;110584.560684793
"GUF";"II";1;2021841.49669152
"GUF";"IV";12;187238.605743882
"GUF";"V";2;1581043.4723126
"GUY";"II";1;61022.0592875476
"GUY";"VI";4;1770833.79705752
"HKG";"V";9;13045.8511397806
"HND";"II";15;654884.948920615
"HND";"IV";21;150391.51533782
"HND";"Not Reported";5;318571.771315872
"HRV";"Ib";5;2728.65649465316
"HRV";"II";4;58210.8789087214
"HRV";"III";27;361.730900310148
"HRV";"IV";71;17314.5156821818
"HRV";"Not Applicable";4;122417.988053387
"HRV";"Not Reported";128;4212.4368788959
"HRV";"V";94;339724.818073915
"HRV";"VI";2;160120.116279658
"HUN";"II";5;165123.88355939
"HUN";"IV";37;19115.231807437
"HUN";"Not Applicable";549;2900651.72697091
"HUN";"V";20;199903.491710912
"HUN,SVK";"Not Applicable";1;59566.4818767191
"IDN";"Ia";46;669743.08040838
"IDN";"Ib";3;102825.073893247
"IDN";"II";11;4022375.34397649
"IDN";"III";1;1767.14377687643
"IDN";"IV";21;3148152.88429598
"IDN";"Not Applicable";4;4887938.15043291
"IDN";"Not Reported";152;14325538.305434
"IDN";"V";17;244161.348198178
"IDN";"VI";37;3378562.27642498
"IND";"Ib";1;65177.0161551527
"IND";"II";49;2998244.38168082
"IND";"IV";239;10274458.2683965
"IND";"Not Applicable";10;1597439.81181588
"IND";"Not Reported";36;2229139.09719965
"IRL";"II";5;34819.7996266797
"IRL";"IV";216;73821.3782144191
"IRL";"Not Applicable";537;1117503.54767991
"IRN";"II";15;1547102.72797452
"IRN";"III";2;3233.36138343728
"IRN";"IV";31;3912412.11755332
"IRN";"Not Applicable";19;2803380.71467794
"IRN";"Not Reported";14;750827.570489805
"IRN";"V";49;5015328.33810101
"IRQ";"Not Applicable";1;137376.549983687
"IRQ";"Not Reported";1;139640.193585345
"ISL";"Ib";1;35788.5074762771
"ISL";"II";6;1565258.07371585
"ISL";"III";43;33485.7054009299
"ISL";"IV";15;71850.6295294312
"ISL";"Not Applicable";2;101500.14115299
"ISL";"V";23;579985.597271436
"ISL";"VI";8;539561.319486691
"ISR";"II";1;3154.41596591653
"ISR";"IV";89;261860.768952567
"ISR";"Not Applicable";1;66.0564310486512
"ISR";"Not Reported";153;179892.219400422
"ITA";"Ia";114;61135.4108954177
"ITA";"II";20;1426106.34717772
"ITA";"III";55;6008.7045350129
"ITA";"IV";453;1122685.30988271
"ITA";"Not Applicable";2493;7342516.61375651
"ITA";"V";175;443577.864404165
"JAM";"Not Applicable";3;59650.0935973535
"JAM";"Not Reported";5;55822.15460814
"JAM";"VI";116;109362.530427334
"JEY";"Not Reported";10;213.145537127954
"JEY";"V";3;276.316923647686
"JEY";"VI";1;1079.13415853101
"JOR";"IV";5;54077.3764206235
"JOR";"Not Applicable";3;102919.773366857
"JOR";"Not Reported";17;292940.263472071
"JOR";"V";1;72875.1107867361
"JPN";"Ia";5;9252.43035156361
"JPN";"Ib";10;191661.913550025
"JPN";"II";5;423267.797723779
"JPN";"IV";2;56555.9243043815
"JPN";"Not Applicable";9;181957.582427229
"JPN";"V";27;2750446.42866908
"KAZ";"Ia";8;859833.336018123
"KAZ";"II";3;612829.114322935
"KAZ";"IV";19;3442870.38005768
"KAZ";"Not Applicable";5;1184717.07602564
"KAZ";"Not Reported";7;7889950.15141305
"KEN";"II";29;3283793.43271686
"KEN";"IV";1;17031.2549616218
